iter	Logloss
0	0.579238711
1	0.5332704481
2	0.5146223879
3	0.5068038629
4	0.5026440326
5	0.5008074185
6	0.4998306197
7	0.4989992129
8	0.4986947997
9	0.4983910779
10	0.4981156747
11	0.4976328826
12	0.4972013735
13	0.4966881516
14	0.4965494976
15	0.4962702627
16	0.4958101788
17	0.4956915428
18	0.4950845917
19	0.4948421606
20	0.4943573144
21	0.4942005759
22	0.4939668551
23	0.493704
24	0.4930109099
25	0.4926553973
26	0.4924733806
27	0.4923382534
28	0.4918798203
29	0.4914690059
30	0.4910809392
31	0.4908466305
32	0.4905886981
33	0.4901877773
34	0.4898882546
35	0.4888115596
36	0.4885283908
37	0.4881209149
38	0.4878051562
39	0.4872188322
40	0.4871505007
41	0.4867709285
42	0.4865857769
43	0.4860386466
44	0.485653824
45	0.4852229826
46	0.4849615862
47	0.4849476996
48	0.4845012688
49	0.4842007287
50	0.4836161372
51	0.4830962939
52	0.4824881217
53	0.482165431
54	0.4818882176
55	0.4813412738
56	0.4810103377
57	0.4808198884
58	0.4804324727
59	0.4802523187
60	0.4799235059
61	0.4797078037
62	0.4787779739
63	0.478396539
64	0.4779151678
65	0.4772083288
66	0.4768565481
67	0.4766330207
68	0.4760519024
69	0.4757007367
70	0.4756937353
71	0.475115435
72	0.474858933
73	0.4745209212
74	0.4741120126
75	0.4740131393
76	0.4738012208
77	0.4737887305
78	0.4735029652
79	0.4733075698
80	0.4728956341
81	0.4726537042
82	0.4721126458
83	0.4718902018
84	0.4716319744
85	0.4713066382
86	0.4707071168
87	0.4700830453
88	0.4699419777
89	0.4696788086
