iter	Passed	Remaining
0	8	811
1	15	766
2	19	624
3	26	635
4	33	633
5	40	631
6	48	639
7	55	632
8	62	628
9	69	625
10	76	616
11	83	609
12	90	605
13	97	598
14	103	587
15	111	584
16	118	576
17	125	571
18	132	563
19	139	558
20	146	550
21	153	545
22	160	537
23	167	529
24	174	524
25	182	519
26	188	510
27	195	502
28	202	494
29	208	487
30	215	480
31	223	474
32	230	467
33	238	463
34	245	455
35	252	448
36	259	442
37	266	434
38	273	427
39	281	422
40	288	414
41	294	406
42	301	399
43	307	391
44	314	384
45	323	379
46	330	372
47	336	364
48	345	359
49	351	351
50	358	344
51	365	337
52	372	330
53	379	323
54	386	316
55	393	309
56	400	301
57	407	295
58	414	288
59	421	280
60	427	273
61	434	266
62	441	259
63	449	252
64	455	245
65	462	238
66	469	231
67	475	223
68	482	216
69	490	210
70	496	202
71	503	195
72	511	189
73	517	181
74	524	174
75	531	167
76	538	160
77	545	153
78	552	146
79	559	139
80	566	132
81	573	125
82	580	118
83	586	111
84	594	104
85	601	97
86	608	90
87	615	83
88	623	77
89	633	70
