iter	RMSE
0	0.529813824
1	0.5236196982
2	0.5175188868
3	0.5115875335
4	0.5057334989
5	0.5005643457
6	0.4953655472
7	0.4904151406
8	0.4855455061
9	0.4808723935
10	0.4763429663
11	0.4719024048
12	0.4678706552
13	0.4639581431
14	0.4599306392
15	0.4561594573
16	0.4526504877
17	0.44931718
18	0.4461183893
19	0.4429618388
20	0.439890635
21	0.4370837923
22	0.4342715238
23	0.4314974973
24	0.4289933918
25	0.4264004908
26	0.4238604227
27	0.4216368463
28	0.4194136651
29	0.4173560254
30	0.415419406
31	0.4134255455
32	0.4115566803
33	0.4098561099
34	0.4081071908
35	0.4063746637
36	0.4047380768
37	0.4031865879
38	0.4016478668
39	0.4001696588
40	0.3987348583
41	0.3974488979
42	0.3960203878
43	0.3947389554
44	0.3934966457
45	0.392239671
46	0.3911733312
47	0.3901175328
48	0.3890874983
49	0.3880248966
50	0.3869069056
51	0.3859464553
52	0.3849506263
53	0.3840709854
54	0.3832836604
55	0.38242845
56	0.3816685646
57	0.3809994161
58	0.380218654
59	0.3794111955
60	0.3787720965
61	0.3779936605
62	0.3773617646
63	0.3767341098
64	0.3760419222
65	0.3753639842
66	0.3746793042
67	0.3739968798
68	0.3735071161
69	0.3728543212
70	0.3723088481
71	0.3718128138
72	0.371249212
73	0.3706642281
74	0.3700936206
75	0.3695869996
76	0.3691154708
77	0.3685967795
78	0.3680946167
79	0.3677004352
80	0.3672670507
81	0.3667117929
82	0.3663094239
83	0.3659241024
84	0.3654177614
85	0.3649605741
86	0.3645280664
87	0.3641064432
88	0.3637575579
89	0.3633625461
90	0.3629648662
91	0.3626502409
92	0.3622778059
93	0.3619763377
94	0.3616458342
95	0.3612961531
96	0.360989484
97	0.3607075329
98	0.3603687964
99	0.3600950809
100	0.3597801147
101	0.3595251057
102	0.3592440108
103	0.3589815871
104	0.3586466103
105	0.3583857122
106	0.3580361224
107	0.3577702601
108	0.3575499588
109	0.3572900067
110	0.3569693418
111	0.3566743451
112	0.3563963722
113	0.3560957662
114	0.3558556624
115	0.3556053344
116	0.3553548689
117	0.3551262601
118	0.3548896178
119	0.3546993709
120	0.3544303159
121	0.354224017
122	0.3540066079
123	0.3537377328
124	0.3535115565
125	0.3532797583
126	0.3530977083
127	0.3528891097
128	0.3527003678
129	0.3524637349
130	0.3522925684
131	0.3521308883
132	0.3519127063
133	0.3516730535
134	0.3514717231
135	0.3513068124
136	0.3510859863
137	0.3509272913
138	0.3507545498
139	0.3505520878
140	0.3503460004
141	0.3501620205
142	0.3500019172
143	0.3498265118
144	0.3496540047
145	0.3494946354
146	0.3492982467
147	0.3490728698
148	0.3488959715
149	0.348747829
150	0.3485678045
151	0.3484263818
152	0.3482491261
153	0.3480928065
154	0.3479408277
155	0.3477658788
156	0.3476029239
157	0.3474417833
158	0.3472839753
159	0.3471273315
160	0.3469660677
161	0.3468127599
162	0.3466788421
163	0.3465381863
164	0.346379729
165	0.3462572756
166	0.3460965173
167	0.3459456516
168	0.3457956756
169	0.3456546895
170	0.3455341397
171	0.3453949843
172	0.3452483528
173	0.3451158899
174	0.3449411751
175	0.3448250523
176	0.3446984682
177	0.3445745685
178	0.3444536697
179	0.344314874
180	0.3441893707
181	0.3440706576
182	0.3439571505
183	0.3438474641
184	0.3437410706
185	0.3435936528
186	0.34348679
187	0.3433203595
188	0.3431975193
189	0.3430609299
190	0.3428754441
191	0.3427479783
192	0.3426368917
193	0.3425137092
194	0.3423884468
195	0.3422593486
196	0.3421620594
197	0.3420153731
198	0.3418993112
199	0.3417753005
200	0.3416853937
201	0.3415770674
202	0.3414167388
203	0.3412794815
204	0.3411846323
205	0.3410362114
206	0.3409235202
207	0.3408319541
208	0.3407253881
209	0.3406371987
210	0.3405097808
211	0.34042129
212	0.3402981397
213	0.3401705305
214	0.3400723601
215	0.339959575
216	0.3398294381
217	0.3397287387
218	0.3396118585
219	0.3394938678
220	0.3393617847
221	0.3392656756
222	0.339118992
223	0.3390290563
224	0.3389409707
225	0.3388301453
226	0.3387392385
227	0.3386361367
228	0.3385485678
229	0.3384463251
230	0.33831534
231	0.3382224443
232	0.338141058
233	0.3379580783
234	0.3378372168
235	0.3377349006
236	0.33765902
237	0.3375666969
238	0.3374382196
239	0.3373468935
240	0.3372114765
241	0.337127735
242	0.3370469817
243	0.3369791719
244	0.336881914
245	0.3368165427
246	0.3367332259
247	0.3366644198
248	0.3365863991
249	0.3364780478
250	0.3364052811
251	0.3363142595
252	0.3362275875
253	0.3361411261
254	0.336059523
255	0.3359873573
256	0.3359110672
257	0.3358535654
258	0.3357761903
259	0.3356779533
260	0.3356175296
261	0.3355396994
262	0.3354625529
263	0.335376876
264	0.3352910276
265	0.3351980047
266	0.3350974808
267	0.3350302179
268	0.3349000383
269	0.3348254079
270	0.3347333655
271	0.3346532456
272	0.3345609716
273	0.3344848193
274	0.3344102405
275	0.3343266062
276	0.3342639785
277	0.3341372894
278	0.3340594714
279	0.3339944422
280	0.3339068223
281	0.3338446259
282	0.3337714066
283	0.3336955913
284	0.3336292309
285	0.3335454542
286	0.3334456862
287	0.3333539994
288	0.3332091709
289	0.3331099667
290	0.3330124342
291	0.3329400667
292	0.3328596674
293	0.3327996354
294	0.3326864801
295	0.3325877551
296	0.332496809
297	0.332415963
298	0.3323521084
299	0.3322366661
300	0.3321366839
301	0.3320464607
302	0.3319848911
303	0.3319218311
304	0.3318207548
305	0.3316875278
306	0.3316049165
307	0.3315208636
308	0.3314307208
309	0.3313205369
310	0.3312524528
311	0.3311087804
312	0.3310480323
313	0.3309789892
314	0.330902824
315	0.3307867867
316	0.3307262787
317	0.3306497576
318	0.330601926
319	0.3304910341
320	0.3304309952
321	0.3303714011
322	0.3303162745
323	0.3302286763
324	0.3301640386
325	0.3300515715
326	0.3300048989
327	0.3299400661
328	0.3298473335
329	0.3297306383
330	0.3296755751
331	0.3295951607
332	0.3294496275
333	0.3293726446
334	0.3292981354
335	0.3292323435
336	0.3291771288
337	0.3291055239
338	0.3290396208
339	0.328943448
340	0.3288928548
341	0.3287922271
342	0.3287005852
343	0.3286073271
344	0.3284762627
345	0.3284114799
346	0.3283308923
347	0.3282306714
348	0.3281168582
349	0.3279885012
350	0.3278940701
351	0.3277922495
352	0.3277144391
353	0.3276593266
354	0.3275826083
355	0.3274801149
356	0.3274165802
357	0.3273261834
358	0.3272302523
359	0.32713283
360	0.3270781089
361	0.3270266477
362	0.326913774
363	0.3268455586
364	0.3267516555
365	0.3266813298
366	0.3266230879
367	0.3265698761
368	0.3265061706
369	0.3264236898
370	0.3263715862
371	0.3263013486
372	0.3262252053
373	0.3261630482
374	0.3261107095
375	0.3259948477
376	0.3258883505
377	0.3258225679
378	0.3257665865
379	0.3256994506
380	0.3256341009
381	0.3255763653
382	0.32550337
383	0.3254183829
384	0.3252821903
385	0.3251773178
386	0.3250851719
387	0.3249989719
388	0.3249150395
389	0.3248303255
390	0.3247566489
391	0.3246795193
392	0.3246154367
393	0.3245433765
394	0.3244502613
395	0.3243709074
396	0.3242640715
397	0.3241780457
398	0.3241250057
399	0.324054861
400	0.3239944317
401	0.3238967766
402	0.3238236379
403	0.3237729735
404	0.3237018353
405	0.3236134351
406	0.3234895614
407	0.3233695246
408	0.3232724259
409	0.3231934254
410	0.3231243382
411	0.3230483238
412	0.3229905436
413	0.322914558
414	0.3228612303
415	0.3228109653
416	0.3227337514
417	0.3226439104
418	0.3225581655
419	0.3224582781
420	0.3223924262
421	0.3222999073
422	0.3222159438
423	0.3221387489
424	0.3220730261
425	0.3220245657
426	0.3219678883
427	0.3218702999
428	0.3217999557
429	0.3217077783
430	0.3216254561
431	0.3215308072
432	0.3214428678
433	0.3213892765
434	0.3213211498
435	0.3212299413
436	0.321124655
437	0.3210644628
438	0.3209763928
439	0.3209026144
440	0.3208357051
441	0.3207655143
442	0.3207011146
443	0.3206037453
444	0.3205384315
445	0.3204718332
446	0.3203589774
447	0.3203008847
448	0.3202241996
449	0.3201381473
450	0.3200727088
451	0.3200208581
452	0.3199296611
453	0.3198887034
454	0.3198404706
455	0.3197274098
456	0.3196251455
457	0.3195548139
458	0.3194546254
459	0.319365205
460	0.3193224977
461	0.3192645536
462	0.3191760991
463	0.3191298652
464	0.3190521451
465	0.3190008027
466	0.318918099
467	0.3188521164
468	0.3187897612
469	0.3187372222
470	0.3186778234
471	0.3185816016
472	0.3185152138
473	0.3184167052
474	0.3183552523
475	0.3183032994
476	0.3182447007
477	0.3181814812
478	0.318117496
479	0.3180520976
480	0.3179851571
481	0.317882864
482	0.317796757
483	0.3177333579
484	0.3176731997
485	0.31759977
486	0.3175594289
487	0.3174750384
488	0.3174111186
489	0.317314842
490	0.3172347937
491	0.3171699464
492	0.3171076404
493	0.3170256788
494	0.3169852471
