iter	Passed	Remaining
0	214	105721
1	438	108171
2	663	108770
3	896	110064
4	1130	110812
5	1382	112696
6	1625	113292
7	1858	113120
8	2093	113056
9	2329	112986
10	2559	112623
11	2800	112704
12	3050	113088
13	3292	113137
14	3523	112736
15	3749	112246
16	3977	111840
17	4213	111656
18	4452	111549
19	4683	111231
20	4907	110759
21	5138	110470
22	5367	110145
23	5605	110016
24	5832	109656
25	6069	109481
26	6307	109335
27	6547	109210
28	6777	108902
29	7010	108655
30	7247	108472
31	7477	108186
32	7705	107873
33	7943	107706
34	8177	107472
35	8416	107308
36	8650	107080
37	8878	106770
38	9112	106540
39	9347	106325
40	9590	106192
41	9827	105999
42	10055	105702
43	10297	105547
44	10541	105413
45	10768	105114
46	11003	104883
47	11233	104611
48	11458	104292
49	11687	104019
50	11922	103794
51	12167	103660
52	12399	103403
53	12632	103164
54	12861	102894
55	13088	102607
56	13312	102296
57	13536	101987
58	13774	101794
59	14002	101517
60	14236	101289
61	14474	101090
62	14701	100810
63	14929	100538
64	15155	100260
65	15386	100011
66	15623	99801
67	15849	99528
68	16072	99230
69	16297	98951
70	16525	98685
71	16748	98397
72	16980	98159
73	17205	97888
74	17435	97639
75	17668	97410
76	17885	97094
77	18105	96792
78	18328	96516
79	18555	96256
80	18781	95992
81	19029	95845
82	19264	95625
83	19488	95355
84	19721	95127
85	19953	94896
86	20175	94616
87	20400	94354
88	20630	94112
89	20859	93869
90	21082	93598
91	21314	93365
92	21536	93092
93	21759	92823
94	21974	92524
95	22213	92324
96	22438	92068
97	22670	91840
98	22894	91576
99	23112	91295
100	23334	91027
101	23555	90759
102	23782	90513
103	24001	90237
104	24220	89961
105	24452	89735
106	24673	89471
107	24900	89227
108	25119	88953
109	25347	88715
110	25565	88441
111	25789	88192
112	26027	87986
113	26251	87736
114	26475	87485
115	26709	87267
116	26932	87012
117	27157	86767
118	27383	86521
119	27598	86245
120	27833	86029
121	28069	85819
122	28286	85548
123	28518	85325
124	28744	85082
125	28966	84830
126	29202	84616
127	29420	84353
128	29641	84100
129	29861	83843
130	30075	83569
131	30289	83297
132	30502	83022
133	30731	82792
134	30959	82559
135	31183	82314
136	31397	82045
137	31620	81799
138	31837	81541
139	32063	81303
140	32289	81066
141	32514	80829
142	32733	80573
143	32961	80343
