iter	RMSE
0	9500.804061
1	9011.373897
2	8548.971264
3	8128.062748
4	7733.668415
5	7368.410593
6	7021.597674
7	6696.966579
8	6400.054845
9	6116.797991
10	5857.721984
11	5626.924887
12	5407.066023
13	5212.272697
14	5033.044149
15	4854.738319
16	4696.862443
17	4541.710379
18	4405.186059
19	4284.707724
20	4164.282571
21	4054.607762
22	3951.278021
23	3861.22585
24	3773.959367
25	3690.465983
26	3612.854591
27	3547.10122
28	3484.365226
29	3420.389615
30	3360.998741
31	3307.815793
32	3261.767797
33	3214.530111
34	3170.776246
35	3127.641539
36	3088.230014
37	3050.594501
38	3016.576049
39	2986.58893
40	2959.414506
41	2935.148125
42	2901.107375
43	2874.243065
44	2841.753409
45	2819.409376
46	2791.802635
47	2768.74724
48	2747.365183
49	2730.949088
50	2713.103692
51	2688.632151
52	2669.876953
53	2651.256697
54	2636.500323
55	2624.370576
56	2609.970979
57	2590.63071
58	2578.51806
59	2566.795451
60	2556.134489
61	2544.101329
62	2534.301443
63	2523.000545
64	2508.15377
65	2499.890227
66	2491.423845
67	2483.654061
68	2473.550136
69	2463.586107
70	2454.540776
71	2447.693966
72	2437.961768
73	2427.568731
74	2418.186045
75	2410.244345
76	2403.575599
77	2395.988495
78	2390.331125
79	2385.610538
80	2376.169548
81	2367.867375
82	2359.946969
83	2352.153075
84	2345.5757
85	2337.288196
86	2331.439726
87	2324.653178
88	2318.784065
89	2311.96836
90	2306.187697
91	2299.369429
92	2293.242895
93	2285.509751
94	2281.225759
95	2275.050678
96	2270.609982
97	2265.213318
98	2258.652974
99	2253.545397
100	2247.518956
101	2242.313942
102	2237.645426
103	2234.134125
104	2227.737739
105	2223.891933
106	2216.620876
107	2211.65749
108	2208.641566
109	2204.534499
110	2199.581518
111	2192.476759
112	2187.270376
113	2183.25013
114	2178.216295
115	2173.534989
116	2168.296261
117	2163.950381
118	2158.460007
119	2154.489028
120	2150.814042
121	2146.691384
122	2143.722264
123	2140.439188
124	2135.904799
125	2133.652361
126	2128.887007
127	2125.481709
128	2121.022674
129	2115.480894
130	2112.287298
131	2109.244607
132	2105.650556
133	2102.434546
134	2099.999622
135	2097.505151
136	2094.209113
137	2091.376867
138	2088.49718
139	2085.071901
140	2081.335809
141	2078.990687
142	2075.452566
143	2072.013222
144	2070.290864
145	2067.528894
146	2063.404476
147	2058.752001
148	2056.76368
149	2054.504298
150	2052.869622
151	2049.464893
152	2047.456839
153	2045.596698
154	2042.629532
155	2038.639988
156	2036.692056
157	2034.193745
158	2030.766854
159	2028.267611
160	2023.497414
161	2020.587796
162	2017.959651
163	2014.180167
164	2010.648347
165	2007.649873
166	2003.199156
167	2000.765899
168	1999.781875
169	1996.851797
170	1994.240806
171	1992.83841
172	1990.046797
173	1988.608161
174	1985.961806
175	1982.230581
176	1978.873433
177	1976.289687
178	1973.946133
179	1971.48933
180	1968.792743
181	1966.022352
182	1964.212922
183	1959.822784
184	1955.994775
185	1954.836445
186	1954.325506
187	1952.323174
188	1950.488859
189	1948.416467
190	1946.094714
191	1942.587885
192	1939.60067
193	1936.268504
194	1934.360153
195	1933.36718
196	1931.732214
197	1929.853248
198	1926.086615
199	1925.619063
200	1924.029549
201	1922.350398
202	1920.865911
203	1919.531274
204	1918.110004
205	1916.416077
206	1914.100552
207	1911.869989
208	1910.531468
209	1908.240741
210	1906.390651
211	1904.42859
212	1901.426026
213	1901.065102
214	1898.524431
215	1897.139937
216	1895.640395
217	1893.764312
218	1891.824448
219	1889.058395
220	1886.386703
221	1885.169002
222	1882.272757
223	1880.947497
224	1880.568617
225	1878.766858
226	1877.673389
227	1876.153955
228	1873.975307
229	1871.722299
230	1871.377455
231	1870.049486
232	1869.741855
233	1868.590528
234	1867.217979
235	1866.882077
236	1865.097701
237	1864.775711
238	1864.464775
239	1864.202352
240	1861.832483
241	1861.526579
242	1858.947233
243	1858.651637
244	1856.957704
245	1855.902869
246	1853.917529
247	1851.656902
248	1849.958947
249	1848.716989
250	1846.815311
251	1844.717324
252	1842.957174
253	1841.051639
254	1840.103867
255	1839.187103
256	1837.374249
257	1835.876106
258	1834.608005
259	1832.740239
260	1830.896159
261	1829.182824
262	1828.146513
263	1827.258282
264	1826.022082
265	1824.97551
266	1823.273107
267	1821.486336
268	1819.407308
269	1818.195456
270	1816.730773
271	1814.913114
272	1813.93898
273	1812.240228
274	1811.284669
275	1809.838684
276	1807.699687
277	1805.972924
278	1804.208052
279	1803.020116
280	1801.748863
281	1800.728805
282	1798.742167
283	1797.104149
284	1795.852893
285	1794.510344
286	1793.767514
287	1792.197582
288	1791.441229
289	1790.40434
290	1788.413078
291	1787.67232
292	1785.86702
293	1784.093719
294	1783.036735
295	1781.967213
296	1780.509065
297	1778.804034
298	1777.893541
299	1777.056844
300	1775.75292
301	1774.198809
302	1772.400038
303	1771.222891
304	1770.36382
305	1768.832808
306	1768.57626
307	1767.89538
308	1766.877578
309	1765.325651
310	1765.085204
311	1764.226516
312	1763.132948
313	1761.819013
314	1760.596876
315	1760.076583
316	1758.763328
317	1757.927431
318	1757.046879
319	1756.181651
320	1755.756814
321	1755.564611
322	1755.382087
323	1754.672195
324	1754.428563
325	1754.259974
326	1753.704475
327	1752.321353
328	1751.167931
329	1750.291164
330	1748.313204
331	1747.091821
332	1746.523451
333	1745.142896
334	1744.13201
335	1743.213282
336	1742.027795
337	1741.539124
338	1740.096259
339	1739.297242
340	1738.164885
341	1736.981981
342	1735.39836
343	1734.438612
344	1733.380399
345	1732.041298
346	1730.98834
347	1730.45229
348	1729.857783
349	1728.46246
350	1727.700487
351	1726.126812
352	1725.323027
353	1724.675583
354	1724.01948
355	1723.210928
356	1721.565201
357	1720.280196
358	1719.505797
359	1718.67358
360	1718.20591
361	1717.343653
362	1716.637596
363	1716.13591
364	1715.384281
365	1714.206994
366	1713.358199
367	1712.257644
368	1711.344004
369	1710.008264
370	1709.147615
371	1708.383023
372	1707.067705
373	1706.259248
374	1704.985286
375	1703.919048
376	1703.25484
377	1701.52806
378	1700.498499
379	1700.359259
380	1699.724303
381	1698.543921
382	1697.831014
383	1696.413307
384	1694.883288
385	1693.971517
386	1693.376578
387	1692.830172
388	1692.319055
389	1691.219013
390	1690.509379
391	1689.620226
392	1688.915361
393	1688.23275
394	1685.817022
395	1684.947715
396	1684.366857
397	1683.549222
398	1681.876843
399	1681.338034
400	1680.966787
401	1680.080686
402	1679.102426
403	1678.855008
404	1678.182628
405	1677.328357
406	1676.150999
407	1674.106351
408	1673.42875
409	1672.955657
410	1672.24277
411	1671.611372
412	1670.941636
413	1670.451067
414	1669.914325
415	1668.809992
416	1668.097008
417	1667.597401
418	1667.056798
419	1665.70383
420	1665.207435
421	1664.726678
422	1664.176369
423	1663.452314
424	1662.960527
425	1662.19762
426	1661.403601
427	1660.999177
428	1659.311286
429	1658.702516
430	1658.096988
431	1657.213727
432	1656.495914
433	1655.566353
434	1655.189105
435	1654.645245
436	1654.128249
437	1653.338052
438	1652.740181
439	1651.956097
440	1651.596036
441	1650.877317
442	1650.256073
443	1649.985373
444	1649.72133
445	1649.118063
446	1647.850705
447	1647.427304
448	1645.561963
449	1644.831115
450	1644.381275
451	1643.725391
452	1643.08246
453	1642.644009
454	1641.231501
455	1640.695177
456	1639.628707
457	1638.669014
458	1637.883301
459	1637.45792
460	1636.858318
461	1634.714107
462	1634.069213
463	1633.4603
464	1632.810741
465	1632.481869
466	1632.014232
467	1630.837934
468	1629.983484
469	1628.920512
470	1628.392712
471	1627.757765
472	1627.326984
473	1626.872844
474	1625.771443
475	1625.452722
476	1624.814032
477	1624.082195
478	1623.282406
479	1622.695051
480	1622.065116
481	1621.445214
482	1621.011911
483	1620.433909
484	1619.715917
485	1618.752765
486	1618.266724
487	1617.569139
488	1617.058706
489	1615.765815
