iter	Passed	Remaining
0	2	2937
1	5	2530
2	6	2295
3	8	2167
4	10	2123
5	12	2109
6	14	2109
7	16	2080
8	18	2045
9	20	2042
10	22	2037
11	24	2041
12	26	2023
13	28	2025
14	30	1999
15	32	1988
16	34	1977
17	35	1960
18	37	1942
19	39	1937
20	41	1930
21	43	1923
22	45	1927
23	47	1936
24	49	1924
25	51	1920
26	53	1926
27	55	1928
28	57	1920
29	59	1910
30	61	1908
31	62	1902
32	64	1900
33	67	1904
34	68	1896
35	70	1891
36	72	1887
37	74	1879
38	76	1874
39	77	1866
40	79	1857
41	81	1850
42	83	1849
43	84	1842
44	86	1835
45	88	1827
46	90	1824
47	91	1820
48	93	1819
49	95	1812
50	97	1805
51	98	1803
52	100	1803
53	102	1797
54	104	1791
55	105	1785
56	107	1782
57	109	1777
58	111	1776
59	113	1770
60	114	1764
61	116	1759
62	117	1753
63	119	1747
64	121	1744
65	122	1740
66	124	1734
67	127	1748
68	129	1746
69	131	1744
70	133	1740
71	135	1742
72	136	1735
73	139	1739
74	140	1733
75	142	1729
76	143	1722
77	145	1719
78	147	1716
79	148	1711
80	150	1708
81	152	1703
82	153	1699
83	155	1695
84	157	1693
85	159	1691
86	161	1693
87	163	1693
88	165	1689
89	167	1689
90	168	1685
91	170	1686
92	172	1685
93	174	1684
94	176	1680
95	178	1677
96	179	1674
97	181	1669
98	183	1674
99	185	1670
100	187	1668
101	188	1663
102	191	1664
103	192	1660
104	194	1655
105	195	1650
106	197	1647
107	199	1645
108	200	1641
109	203	1642
110	204	1639
111	206	1634
112	207	1631
113	209	1628
114	211	1625
115	213	1627
116	215	1624
117	217	1625
118	219	1621
119	220	1618
120	222	1616
121	224	1612
122	225	1608
123	227	1605
124	229	1604
125	230	1600
126	232	1597
127	233	1593
128	235	1590
129	237	1587
130	238	1583
131	240	1579
132	242	1580
133	244	1577
134	245	1575
135	247	1571
136	249	1568
137	251	1571
138	253	1568
139	254	1566
140	256	1564
141	258	1562
142	260	1559
143	262	1557
144	263	1554
145	265	1553
146	267	1550
147	269	1549
148	270	1546
149	272	1541
150	273	1538
151	275	1534
152	276	1531
153	278	1529
154	280	1526
155	281	1523
156	283	1520
157	284	1518
158	286	1516
159	288	1512
160	289	1510
161	291	1508
162	293	1506
163	295	1504
164	296	1502
165	298	1500
166	300	1497
167	301	1494
168	303	1491
169	304	1488
170	306	1486
171	308	1482
172	309	1480
173	311	1480
174	313	1478
175	315	1476
176	316	1473
177	318	1471
178	320	1469
179	322	1466
180	323	1464
181	325	1461
182	326	1459
183	328	1457
184	331	1459
185	332	1456
186	334	1453
187	335	1451
188	337	1448
189	339	1445
190	341	1444
191	342	1442
192	344	1440
193	346	1441
194	348	1439
195	350	1437
196	352	1437
197	354	1434
198	356	1432
199	357	1430
200	359	1428
201	361	1426
202	362	1423
203	364	1420
204	365	1417
205	367	1415
206	369	1413
207	370	1411
208	372	1408
209	373	1405
210	375	1403
211	377	1401
212	378	1399
213	380	1396
214	381	1393
215	383	1391
216	385	1389
217	386	1387
218	388	1386
219	390	1384
220	392	1382
221	393	1379
222	395	1377
223	396	1375
224	398	1372
225	400	1371
226	402	1369
227	403	1366
228	405	1365
229	407	1362
230	408	1361
231	410	1358
232	411	1355
233	413	1353
234	415	1351
235	416	1348
236	418	1346
237	419	1343
238	421	1341
239	422	1338
240	424	1336
241	425	1334
242	427	1332
243	429	1329
244	430	1327
245	432	1324
246	433	1322
247	435	1320
248	436	1317
249	438	1315
250	440	1313
251	441	1311
252	443	1309
253	445	1307
254	446	1305
255	448	1302
256	449	1300
257	451	1299
258	453	1296
259	455	1295
260	457	1294
261	458	1292
262	460	1289
263	461	1287
264	463	1285
265	464	1282
266	466	1280
267	468	1279
268	469	1276
269	471	1274
270	473	1272
271	474	1270
272	476	1268
273	477	1266
274	479	1264
275	481	1261
276	483	1261
277	484	1259
278	486	1257
279	488	1255
280	489	1252
281	491	1250
282	492	1248
283	494	1246
284	496	1244
285	497	1242
286	499	1240
287	501	1240
288	503	1238
289	504	1236
290	506	1234
291	508	1231
292	509	1229
293	511	1228
294	513	1226
295	515	1225
296	517	1224
297	518	1222
298	520	1219
299	521	1217
300	523	1215
301	525	1214
302	526	1212
303	529	1211
304	530	1209
305	532	1207
306	533	1204
307	535	1202
308	536	1199
309	538	1197
310	539	1195
311	541	1193
312	542	1191
313	544	1189
314	546	1188
315	548	1186
316	549	1184
317	551	1181
318	552	1179
319	555	1179
320	556	1177
321	558	1175
322	559	1172
323	561	1171
324	562	1168
325	564	1166
326	566	1165
327	568	1164
328	569	1161
329	571	1159
330	572	1158
331	575	1157
332	576	1154
333	578	1152
334	579	1150
335	581	1149
336	583	1148
337	585	1147
338	587	1145
339	588	1143
340	590	1141
341	592	1139
342	594	1137
343	595	1135
344	597	1133
345	599	1132
346	600	1130
347	602	1128
348	603	1126
349	605	1124
350	607	1122
351	609	1121
352	610	1119
353	612	1117
354	614	1115
355	615	1114
356	617	1112
357	619	1110
358	620	1108
359	622	1106
360	624	1104
361	625	1102
362	627	1100
363	628	1098
364	630	1096
365	632	1095
366	633	1092
367	635	1091
368	636	1089
369	638	1087
370	640	1086
371	642	1084
372	643	1082
373	645	1079
374	646	1077
375	648	1076
376	650	1074
377	651	1072
378	653	1071
379	655	1068
380	656	1066
381	658	1064
382	659	1062
383	661	1061
384	663	1059
385	664	1057
386	666	1055
387	668	1053
388	669	1051
389	671	1049
390	672	1047
391	674	1045
392	675	1044
393	677	1041
394	679	1040
395	681	1038
396	682	1036
397	684	1034
398	685	1033
399	687	1031
400	689	1029
401	691	1027
402	692	1026
403	694	1024
404	695	1022
405	697	1020
406	698	1018
407	700	1016
408	702	1014
409	703	1012
410	705	1011
411	707	1009
412	709	1008
413	710	1006
414	712	1004
415	713	1002
416	715	1000
417	717	998
418	718	996
419	720	994
420	721	992
421	723	990
422	725	989
423	726	987
424	728	985
425	730	983
426	731	981
427	733	980
428	734	978
429	736	976
430	737	974
431	739	972
432	740	970
433	742	968
