iter	Passed	Remaining
0	3575	1784079
1	7248	1804912
2	11123	1842839
3	14901	1847765
4	18650	1846408
5	22414	1845470
6	27420	1931186
7	31133	1914712
8	34902	1904107
9	38564	1889672
10	42552	1891658
11	46365	1885524
12	50221	1881384
13	54274	1884085
14	58224	1882584
15	61989	1875182
16	65798	1869440
17	69688	1866094
18	73466	1859871
19	78365	1880774
20	82259	1876308
21	86095	1870625
22	89923	1864931
23	93884	1862050
24	97805	1858299
25	101568	1851669
26	105669	1851178
27	109671	1848741
28	113572	1844575
29	117552	1841652
30	121320	1835459
31	126147	1844910
32	130025	1840064
33	134994	1850218
34	138887	1845215
35	142854	1841231
36	146878	1837965
37	150686	1832027
38	155745	1840992
39	159618	1835614
40	164451	1841053
41	168250	1834731
42	172204	1830170
43	177007	1834441
44	181152	1831652
45	184955	1825434
46	188713	1818881
47	192546	1813143
48	196500	1808605
49	200533	1804805
50	205341	1807807
51	209192	1802274
52	214221	1806739
53	218000	1800519
54	222780	1802493
55	227576	1804354
56	231489	1799122
57	235278	1792985
58	239299	1788659
59	242952	1781655
60	247949	1784420
61	251993	1780210
62	255931	1775271
63	259858	1770286
64	263846	1765739
65	267879	1761508
66	271909	1757264
67	276012	1753490
68	279731	1747309
69	283722	1742869
70	287779	1738835
71	291733	1734194
72	295444	1728150
73	299483	1724052
74	303413	1719345
75	307263	1714208
76	311264	1709935
77	315292	1705812
78	319135	1700712
79	323144	1696511
80	327196	1692534
81	331241	1688523
82	335264	1684402
83	340108	1684348
84	343903	1679058
85	347952	1675027
86	351700	1669567
87	355437	1664092
88	359320	1659335
89	363291	1654995
90	367132	1650079
91	371214	1646255
92	376027	1645627
93	380068	1641574
94	384132	1637618
95	387973	1632720
96	391990	1628580
97	395931	1624128
98	399880	1619719
99	403884	1615536
100	407873	1611301
101	411841	1606990
102	415863	1602890
103	419722	1598175
104	423558	1593385
105	427498	1589002
106	431559	1585073
107	435529	1580812
108	439336	1575969
109	443049	1570811
110	446879	1566091
111	450852	1561880
112	454696	1557235
113	458587	1552761
114	463547	1551875
115	467545	1547736
116	471422	1543203
117	475260	1538555
118	479121	1533993
119	483173	1530049
120	487913	1528258
121	491908	1524109
122	495728	1519427
123	499464	1514503
124	503479	1510438
125	507432	1506187
126	512462	1505106
127	517183	1503064
128	521140	1498783
129	525075	1494446
130	528781	1489469
131	532697	1485096
132	536462	1480314
133	541529	1479102
134	545542	1474984
135	549260	1470079
136	553258	1465932
137	558086	1463966
138	562143	1459954
139	565977	1455371
140	569928	1451094
141	573791	1446600
142	577544	1441842
143	581573	1437779
144	586568	1436080
145	591519	1434231
146	595509	1430033
147	599496	1425829
148	603358	1421333
149	607085	1416533
150	612020	1414537
151	616034	1410394
152	620039	1406233
153	624038	1402060
154	628987	1400003
155	632716	1395220
156	636269	1390066
157	640130	1385597
158	643888	1380917
159	647773	1376518
160	651576	1371952
161	655378	1367393
162	659316	1363126
163	663293	1358941
164	667024	1354261
165	670624	1349328
166	674606	1345174
167	678636	1341115
168	682366	1336469
169	686206	1332048
170	689802	1327163
171	693367	1322235
172	697205	1317839
173	701186	1313716
174	704986	1309260
175	708733	1304714
176	712529	1300265
177	716387	1295936
178	720303	1291718
179	724271	1287593
180	728120	1283262
181	731791	1278625
182	735766	1274523
183	740833	1272301
184	745769	1269823
185	749623	1265494
186	754534	1262936
187	758521	1258823
188	762449	1254612
189	766281	1250248
190	770213	1246051
191	774288	1242087
192	778210	1237878
193	782197	1233776
194	785989	1229367
195	789767	1224946
196	794721	1222338
197	798623	1218102
198	802583	1213958
199	806274	1209411
200	810207	1205234
201	813992	1200840
202	817836	1196539
203	821819	1192444
204	825732	1188249
205	829733	1184183
206	833414	1179663
207	838127	1176602
208	843028	1173786
209	846929	1169568
210	850813	1165331
211	854739	1161156
212	858640	1156947
213	862623	1152851
214	866478	1148587
215	870224	1144184
216	874152	1140023
217	878149	1135954
218	881981	1131675
219	886956	1128853
220	890880	1124686
221	894648	1120325
222	898575	1116167
223	902186	1111622
